areaCd,areaNm,signguCd,signguNm,sigunguCd,sigunguNm,fullRegionNm,areaNmNormalized,signguNmNormalized,fullRegionNmNormalized
41,경기도,41465,용인시 수지구,41465,용인시 수지구,경기도 용인시 수지구,경기도,용인시수지구,경기도용인시수지구
41,경기도,41480,파주시,41480,파주시,경기도 파주시,경기도,파주시,경기도파주시
41,경기도,41500,이천시,41500,이천시,경기도 이천시,경기도,이천시,경기도이천시
41,경기도,41550,안성시,41550,안성시,경기도 안성시,경기도,안성시,경기도안성시
41,경기도,41570,김포시,41570,김포시,경기도 김포시,경기도,김포시,경기도김포시
41,경기도,41590,화성시,41590,화성시,경기도 화성시,경기도,화성시,경기도화성시
41,경기도,41610,광주시,41610,광주시,경기도 광주시,경기도,광주시,경기도광주시
41,경기도,41630,양주시,41630,양주시,경기도 양주시,경기도,양주시,경기도양주시
41,경기도,41650,포천시,41650,포천시,경기도 포천시,경기도,포천시,경기도포천시
41,경기도,41670,여주시,41670,여주시,경기도 여주시,경기도,여주시,경기도여주시
41,경기도,41800,연천군,41800,연천군,경기도 연천군,경기도,연천군,경기도연천군
41,경기도,41820,가평군,41820,가평군,경기도 가평군,경기도,가평군,경기도가평군
41,경기도,41830,양평군,41830,양평군,경기도 양평군,경기도,양평군,경기도양평군
43,충청북도,43111,청주시 상당구,43111,청주시 상당구,충청북도 청주시 상당구,충청북도,청주시상당구,충청북도청주시상당구
43,충청북도,43112,청주시 서원구,43112,청주시 서원구,충청북도 청주시 서원구,충청북도,청주시서원구,충청북도청주시서원구
43,충청북도,43113,청주시 흥덕구,43113,청주시 흥덕구,충청북도 청주시 흥덕구,충청북도,청주시흥덕구,충청북도청주시흥덕구
43,충청북도,43114,청주시 청원구,43114,청주시 청원구,충청북도 청주시 청원구,충청북도,청주시청원구,충청북도청주시청원구
43,충청북도,43130,충주시,43130,충주시,충청북도 충주시,충청북도,충주시,충청북도충주시
43,충청북도,43150,제천시,43150,제천시,충청북도 제천시,충청북도,제천시,충청북도제천시
43,충청북도,43720,보은군,43720,보은군,충청북도 보은군,충청북도,보은군,충청북도보은군
43,충청북도,43730,옥천군,43730,옥천군,충청북도 옥천군,충청북도,옥천군,충청북도옥천군
43,충청북도,43740,영동군,43740,영동군,충청북도 영동군,충청북도,영동군,충청북도영동군
43,충청북도,43745,증평군,43745,증평군,충청북도 증평군,충청북도,증평군,충청북도증평군
43,충청북도,43750,진천군,43750,진천군,충청북도 진천군,충청북도,진천군,충청북도진천군
43,충청북도,43760,괴산군,43760,괴산군,충청북도 괴산군,충청북도,괴산군,충청북도괴산군
43,충청북도,43770,음성군,43770,음성군,충청북도 음성군,충청북도,음성군,충청북도음성군
43,충청북도,43800,단양군,43800,단양군,충청북도 단양군,충청북도,단양군,충청북도단양군
44,충청남도,44131,천안시 동남구,44131,천안시 동남구,충청남도 천안시 동남구,충청남도,천안시동남구,충청남도천안시동남구
