ID,area_cd,area_nm,signgu_cd,signgu_nm,full_region_nm,area_nm_normalized,signgu_nm_normalized,full_region_nm_normalized,usage_note
region_41_41670,41,경기도,41670,여주시,경기도 여주시,경기도,여주시,경기도여주시,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41800,41,경기도,41800,연천군,경기도 연천군,경기도,연천군,경기도연천군,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41820,41,경기도,41820,가평군,경기도 가평군,경기도,가평군,경기도가평군,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_41_41830,41,경기도,41830,양평군,경기도 양평군,경기도,양평군,경기도양평군,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_43_43111,43,충청북도,43111,청주시 상당구,충청북도 청주시 상당구,충청북도,청주시상당구,충청북도청주시상당구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_43_43112,43,충청북도,43112,청주시 서원구,충청북도 청주시 서원구,충청북도,청주시서원구,충청북도청주시서원구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_43_43113,43,충청북도,43113,청주시 흥덕구,충청북도 청주시 흥덕구,충청북도,청주시흥덕구,충청북도청주시흥덕구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_43_43114,43,충청북도,43114,청주시 청원구,충청북도 청주시 청원구,충청북도,청주시청원구,충청북도청주시청원구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_43_43130,43,충청북도,43130,충주시,충청북도 충주시,충청북도,충주시,충청북도충주시,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_43_43150,43,충청북도,43150,제천시,충청북도 제천시,충청북도,제천시,충청북도제천시,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_43_43720,43,충청북도,43720,보은군,충청북도 보은군,충청북도,보은군,충청북도보은군,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_43_43730,43,충청북도,43730,옥천군,충청북도 옥천군,충청북도,옥천군,충청북도옥천군,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_43_43740,43,충청북도,43740,영동군,충청북도 영동군,충청북도,영동군,충청북도영동군,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_43_43745,43,충청북도,43745,증평군,충청북도 증평군,충청북도,증평군,충청북도증평군,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_43_43750,43,충청북도,43750,진천군,충청북도 진천군,충청북도,진천군,충청북도진천군,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_43_43760,43,충청북도,43760,괴산군,충청북도 괴산군,충청북도,괴산군,충청북도괴산군,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_43_43770,43,충청북도,43770,음성군,충청북도 음성군,충청북도,음성군,충청북도음성군,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_43_43800,43,충청북도,43800,단양군,충청북도 단양군,충청북도,단양군,충청북도단양군,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_44_44131,44,충청남도,44131,천안시 동남구,충청남도 천안시 동남구,충청남도,천안시동남구,충청남도천안시동남구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_44_44133,44,충청남도,44133,천안시 서북구,충청남도 천안시 서북구,충청남도,천안시서북구,충청남도천안시서북구,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_44_44150,44,충청남도,44150,공주시,충청남도 공주시,충청남도,공주시,충청남도공주시,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_44_44180,44,충청남도,44180,보령시,충청남도 보령시,충청남도,보령시,충청남도보령시,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_44_44200,44,충청남도,44200,아산시,충청남도 아산시,충청남도,아산시,충청남도아산시,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_44_44210,44,충청남도,44210,서산시,충청남도 서산시,충청남도,서산시,충청남도서산시,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_44_44230,44,충청남도,44230,논산시,충청남도 논산시,충청남도,논산시,충청남도논산시,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_44_44250,44,충청남도,44250,계룡시,충청남도 계룡시,충청남도,계룡시,충청남도계룡시,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_44_44270,44,충청남도,44270,당진시,충청남도 당진시,충청남도,당진시,충청남도당진시,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_44_44710,44,충청남도,44710,금산군,충청남도 금산군,충청남도,금산군,충청남도금산군,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_44_44760,44,충청남도,44760,부여군,충청남도 부여군,충청남도,부여군,충청남도부여군,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_44_44770,44,충청남도,44770,서천군,충청남도 서천군,충청남도,서천군,충청남도서천군,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_44_44790,44,충청남도,44790,청양군,충청남도 청양군,충청남도,청양군,충청남도청양군,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_44_44800,44,충청남도,44800,홍성군,충청남도 홍성군,충청남도,홍성군,충청남도홍성군,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_44_44810,44,충청남도,44810,예산군,충청남도 예산군,충청남도,예산군,충청남도예산군,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_44_44825,44,충청남도,44825,태안군,충청남도 태안군,충청남도,태안군,충청남도태안군,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_46_46110,46,전라남도,46110,목포시,전라남도 목포시,전라남도,목포시,전라남도목포시,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_46_46130,46,전라남도,46130,여수시,전라남도 여수시,전라남도,여수시,전라남도여수시,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_46_46150,46,전라남도,46150,순천시,전라남도 순천시,전라남도,순천시,전라남도순천시,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_46_46170,46,전라남도,46170,나주시,전라남도 나주시,전라남도,나주시,전라남도나주시,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_46_46230,46,전라남도,46230,광양시,전라남도 광양시,전라남도,광양시,전라남도광양시,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_46_46710,46,전라남도,46710,담양군,전라남도 담양군,전라남도,담양군,전라남도담양군,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_46_46720,46,전라남도,46720,곡성군,전라남도 곡성군,전라남도,곡성군,전라남도곡성군,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_46_46730,46,전라남도,46730,구례군,전라남도 구례군,전라남도,구례군,전라남도구례군,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_46_46770,46,전라남도,46770,고흥군,전라남도 고흥군,전라남도,고흥군,전라남도고흥군,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_46_46780,46,전라남도,46780,보성군,전라남도 보성군,전라남도,보성군,전라남도보성군,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
region_46_46790,46,전라남도,46790,화순군,전라남도 화순군,전라남도,화순군,전라남도화순군,API 요청의 areaCd와 signguCd 파라미터 매핑에 사용
